0.12198;1
0.11236;2
0.11111;3
0.11227;4
0.11;5
0.11135;6
0.1362;7
0.10874;8
0.11092;9
0.10926;10
0.10662;11
0.1078;12
0.10884;13
0.1096;14
0.10685;15
0.11343;16
0.11001;17
0.11255;18
0.10858;19
0.1096;20
0.11102;21
0.11066;22
0.11156;23
0.11122;24
0.11172;25
0.10199;26
0.11044;27
0.11066;28
0.11309;29
0.10816;30
0.11132;31
0.10878;32
0.11006;33
0.10958;34
0.11062;35
0.10855;36
0.11058;37
0.11123;38
0.10461;39
0.12439;40
0.12246;41
0.11262;42
0.11111;43
0.10887;44
0.11108;45
0.10914;46
0.11046;47
0.11044;48
0.11114;49
0.10973;50
0.11281;51
0.10766;52
0.11221;53
0.10623;54
0.10856;55
0.10978;56
0.11198;57
0.11464;58
0.11007;59
0.1137;60
0.11241;61
0.11424;62
0.11211;63
0.11229;64
0.11064;65
0.13475;66
0.1157;67
0.11019;68
0.11021;69
0.10874;70
0.10975;71
0.10865;72
0.1091;73
0.10943;74
0.11382;75
0.11636;76
0.11756;77
0.11179;78
0.11229;79
0.11209;80
